Protein_ID,Protein_Name,Gene_Symbol
Q02928,Cytochrome P450 4A11 OS=Homo sapiens GN=CYP4A11 PE=1 SV=1,CYP4A11
H0YBV6,Protein MAK16 homolog (Fragment) OS=Homo sapiens GN=MAK16 PE=1 SV=1,MAK16
K7ER27,"Lon protease homolog, mitochondrial (Fragment) OS=Homo sapiens GN=LONP1 PE=1 SV=1",LONP1
E7ETZ7,Histone-lysine N-methyltransferase 2E OS=Homo sapiens GN=KMT2E PE=1 SV=3,KMT2E
Q93075,Putative deoxyribonuclease TATDN2 OS=Homo sapiens GN=TATDN2 PE=2 SV=2,TATDN2
Q7L8L6,FAST kinase domain-containing protein 5 OS=Homo sapiens GN=FASTKD5 PE=1 SV=1,FASTKD5
Q9BYD6,"39S ribosomal protein L1, mitochondrial OS=Homo sapiens GN=MRPL1 PE=1 SV=2",MRPL1
Q9H0E2,Toll-interacting protein OS=Homo sapiens GN=TOLLIP PE=1 SV=1,TOLLIP
Q9UHK6,Alpha-methylacyl-CoA racemase OS=Homo sapiens GN=AMACR PE=1 SV=2,AMACR
Q9HD40,O-phosphoseryl-tRNA(Sec) selenium transferase OS=Homo sapiens GN=SEPSECS PE=1 SV=2,SEPSECS
Q9BYC2,"Succinyl-CoA:3-ketoacid coenzyme A transferase 2, mitochondrial OS=Homo sapiens GN=OXCT2 PE=2 SV=2",OXCT2
Q6P2Q9,Pre-mRNA-processing-splicing factor 8 OS=Homo sapiens GN=PRPF8 PE=1 SV=2,PRPF8
H7C333,Protein NipSnap homolog 2 (Fragment) OS=Homo sapiens GN=GBAS PE=1 SV=1,GBAS
O15020,"Spectrin beta chain, non-erythrocytic 2 OS=Homo sapiens GN=SPTBN2 PE=1 SV=3",SPTBN2
Q14194,Dihydropyrimidinase-related protein 1 OS=Homo sapiens GN=CRMP1 PE=1 SV=1,CRMP1
Q14894,Ketimine reductase mu-crystallin OS=Homo sapiens GN=CRYM PE=1 SV=1,CRYM
P30086,Phosphatidylethanolamine-binding protein 1 OS=Homo sapiens GN=PEBP1 PE=1 SV=3,PEBP1
Q9BS26,Endoplasmic reticulum resident protein 44 OS=Homo sapiens GN=ERP44 PE=1 SV=1,ERP44
O14841,5-oxoprolinase OS=Homo sapiens GN=OPLAH PE=1 SV=3,OPLAH
Q8N1F7,Nuclear pore complex protein Nup93 OS=Homo sapiens GN=NUP93 PE=1 SV=2,NUP93
P02649,Apolipoprotein E OS=Homo sapiens GN=APOE PE=1 SV=1,APOE
Q13057,Bifunctional coenzyme A synthase OS=Homo sapiens GN=COASY PE=1 SV=4,COASY
Q96T58,Msx2-interacting protein OS=Homo sapiens GN=SPEN PE=1 SV=1,SPEN
A0A0A0MQR2,Protein RTF2 homolog OS=Homo sapiens GN=RTFDC1 PE=1 SV=1,RTFDC1
P61224,Ras-related protein Rap-1b OS=Homo sapiens GN=RAP1B PE=1 SV=1,RAP1B
P61204,ADP-ribosylation factor 3 OS=Homo sapiens GN=ARF3 PE=1 SV=2,ARF3
P40227,T-complex protein 1 subunit zeta OS=Homo sapiens GN=CCT6A PE=1 SV=3,CCT6A
P07602,Prosaposin OS=Homo sapiens GN=PSAP PE=1 SV=2,PSAP
O75688,Protein phosphatase 1B OS=Homo sapiens GN=PPM1B PE=1 SV=1,PPM1B
P80404,"4-aminobutyrate aminotransferase, mitochondrial OS=Homo sapiens GN=ABAT PE=1 SV=3",ABAT
Q9Y5G7,Protocadherin gamma-A6 OS=Homo sapiens GN=PCDHGA6 PE=2 SV=1,PCDHGA6
P58546,Myotrophin OS=Homo sapiens GN=MTPN PE=1 SV=2,MTPN
P30613,Pyruvate kinase PKLR OS=Homo sapiens GN=PKLR PE=1 SV=2,PKLR
Q08945,FACT complex subunit SSRP1 OS=Homo sapiens GN=SSRP1 PE=1 SV=1,SSRP1
H0Y808,Transketolase-like protein 1 (Fragment) OS=Homo sapiens GN=TKTL1 PE=1 SV=1,TKTL1
P07196,Neurofilament light polypeptide OS=Homo sapiens GN=NEFL PE=1 SV=3,NEFL
H0YIB4,Serine/arginine-rich-splicing factor 9 (Fragment) OS=Homo sapiens GN=SRSF9 PE=1 SV=6,SRSF9
P00167,Cytochrome b5 OS=Homo sapiens GN=CYB5A PE=1 SV=2,CYB5A
Q8WXH0,Nesprin-2 OS=Homo sapiens GN=SYNE2 PE=1 SV=3,SYNE2
Q9H9Y2,Ribosome production factor 1 OS=Homo sapiens GN=RPF1 PE=1 SV=2,RPF1
Q8N142,Adenylosuccinate synthetase isozyme 1 OS=Homo sapiens GN=ADSSL1 PE=1 SV=1,ADSSL1
Q99456,"Keratin, type I cytoskeletal 12 OS=Homo sapiens GN=KRT12 PE=1 SV=1",KRT12
Q96I59,"Probable asparagine--tRNA ligase, mitochondrial OS=Homo sapiens GN=NARS2 PE=1 SV=3",NARS2
Q674X7,Kazrin OS=Homo sapiens GN=KAZN PE=1 SV=2,KAZN
P04406,Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens GN=GAPDH PE=1 SV=3,GAPDH
Q13103,Secreted phosphoprotein 24 OS=Homo sapiens GN=SPP2 PE=1 SV=1,SPP2
J3QRC4,60S ribosomal protein L26 (Fragment) OS=Homo sapiens GN=RPL26 PE=4 SV=1,RPL26
H7C579,Omega-amidase NIT2 (Fragment) OS=Homo sapiens GN=NIT2 PE=1 SV=6,NIT2
O95140,Mitofusin-2 OS=Homo sapiens GN=MFN2 PE=1 SV=3,MFN2
O94906,Pre-mRNA-processing factor 6 OS=Homo sapiens GN=PRPF6 PE=1 SV=1,PRPF6
P0C7M6,IQ domain-containing protein F3 OS=Homo sapiens GN=IQCF3 PE=2 SV=1,IQCF3
Q6YN16,Hydroxysteroid dehydrogenase-like protein 2 OS=Homo sapiens GN=HSDL2 PE=1 SV=1,HSDL2
Q6P2E9,Enhancer of mRNA-decapping protein 4 OS=Homo sapiens GN=EDC4 PE=1 SV=1,EDC4
A0A087WTI1,Ras-related protein Rab-1B OS=Homo sapiens GN=RAB1B PE=1 SV=1,RAB1B
Q92959,Solute carrier organic anion transporter family member 2A1 OS=Homo sapiens GN=SLCO2A1 PE=1 SV=2,SLCO2A1
A6NJD9,"39S ribosomal protein L23, mitochondrial OS=Homo sapiens GN=MRPL23 PE=1 SV=1",MRPL23
O15344,E3 ubiquitin-protein ligase Midline-1 OS=Homo sapiens GN=MID1 PE=1 SV=1,MID1
O15260,Surfeit locus protein 4 OS=Homo sapiens GN=SURF4 PE=1 SV=3,SURF4
Q15031,"Probable leucine--tRNA ligase, mitochondrial OS=Homo sapiens GN=LARS2 PE=1 SV=2",LARS2
C9J5F6,Delphilin OS=Homo sapiens GN=GRID2IP PE=4 SV=1,GRID2IP
Q9HC35,Echinoderm microtubule-associated protein-like 4 OS=Homo sapiens GN=EML4 PE=1 SV=3,EML4
K7EJH8,Alpha-actinin-4 (Fragment) OS=Homo sapiens GN=ACTN4 PE=1 SV=1,ACTN4
P24539,"ATP synthase F(0) complex subunit B1, mitochondrial OS=Homo sapiens GN=ATP5F1 PE=1 SV=2",ATP5F1
O00483,Cytochrome c oxidase subunit NDUFA4 OS=Homo sapiens GN=NDUFA4 PE=1 SV=1,NDUFA4
P42224,Signal transducer and activator of transcription 1-alpha/beta OS=Homo sapiens GN=STAT1 PE=1 SV=2,STAT1
P56537,Eukaryotic translation initiation factor 6 OS=Homo sapiens GN=EIF6 PE=1 SV=1,EIF6
P18085,ADP-ribosylation factor 4 OS=Homo sapiens GN=ARF4 PE=1 SV=3,ARF4
Q99623,Prohibitin-2 OS=Homo sapiens GN=PHB2 PE=1 SV=2,PHB2
P18031,Tyrosine-protein phosphatase non-receptor type 1 OS=Homo sapiens GN=PTPN1 PE=1 SV=1,PTPN1
Q13724,Mannosyl-oligosaccharide glucosidase OS=Homo sapiens GN=MOGS PE=1 SV=5,MOGS
Q8NFH3,Nucleoporin Nup43 OS=Homo sapiens GN=NUP43 PE=1 SV=1,NUP43
A0A0A0MTS2,Glucose-6-phosphate isomerase (Fragment) OS=Homo sapiens GN=GPI PE=1 SV=1,GPI
P50993,Sodium/potassium-transporting ATPase subunit alpha-2 OS=Homo sapiens GN=ATP1A2 PE=1 SV=1,ATP1A2
Q6P1L8,"39S ribosomal protein L14, mitochondrial OS=Homo sapiens GN=MRPL14 PE=1 SV=1",MRPL14
Q15397,Pumilio domain-containing protein KIAA0020 OS=Homo sapiens GN=KIAA0020 PE=1 SV=3,KIAA0020
Q02880,DNA topoisomerase 2-beta OS=Homo sapiens GN=TOP2B PE=1 SV=3,TOP2B
A0A087WWS1,THO complex subunit 1 OS=Homo sapiens GN=THOC1 PE=1 SV=1,THOC1
A0A087X2C0,Ig mu chain C region OS=Homo sapiens GN=IGHM PE=1 SV=1,IGHM
P35713,Transcription factor SOX-18 OS=Homo sapiens GN=SOX18 PE=1 SV=2,SOX18
Q9UL54,Serine/threonine-protein kinase TAO2 OS=Homo sapiens GN=TAOK2 PE=1 SV=2,TAOK2
Q14258,E3 ubiquitin/ISG15 ligase TRIM25 OS=Homo sapiens GN=TRIM25 PE=1 SV=2,TRIM25
P00918,Carbonic anhydrase 2 OS=Homo sapiens GN=CA2 PE=1 SV=2,CA2
M0R2Z9,SURP and G-patch domain-containing protein 2 OS=Homo sapiens GN=SUGP2 PE=1 SV=1,SUGP2
P01615,Protein IGKV2D-28 OS=Homo sapiens GN=IGKV2D-28 PE=1 SV=1,IGKV2D-28
P11388,DNA topoisomerase 2-alpha OS=Homo sapiens GN=TOP2A PE=1 SV=3,TOP2A
Q9UJS0,Calcium-binding mitochondrial carrier protein Aralar2 OS=Homo sapiens GN=SLC25A13 PE=1 SV=2,SLC25A13
E7EMZ9,Transforming acidic coiled-coil-containing protein 2 OS=Homo sapiens GN=TACC2 PE=1 SV=1,TACC2
P57764,Gasdermin-D OS=Homo sapiens GN=GSDMD PE=1 SV=1,GSDMD
P41091,Eukaryotic translation initiation factor 2 subunit 3 OS=Homo sapiens GN=EIF2S3 PE=1 SV=3,EIF2S3
J3KTD4,Leucine-rich repeat-containing protein 45 (Fragment) OS=Homo sapiens GN=LRRC45 PE=1 SV=1,LRRC45
A0A0G2JLS1,Leucine-rich repeat-containing protein 56 OS=Homo sapiens GN=LRRC56 PE=4 SV=1,LRRC56
Q9BSH5,Haloacid dehalogenase-like hydrolase domain-containing protein 3 OS=Homo sapiens GN=HDHD3 PE=1 SV=1,HDHD3
Q86UA1,Pre-mRNA-processing factor 39 OS=Homo sapiens GN=PRPF39 PE=1 SV=3,PRPF39
A0A087WVA8,Testis-expressed sequence 2 protein OS=Homo sapiens GN=TEX2 PE=1 SV=1,TEX2
B4DGU4,Catenin beta-1 OS=Homo sapiens GN=CTNNB1 PE=1 SV=1,CTNNB1
Q93091,Ribonuclease K6 OS=Homo sapiens GN=RNASE6 PE=2 SV=2,RNASE6
P62258,14-3-3 protein epsilon OS=Homo sapiens GN=YWHAE PE=1 SV=1,YWHAE
A0A0A0MSX5,Homeobox protein Hox-D8 OS=Homo sapiens GN=HOXD8 PE=1 SV=1,HOXD8
Q96DI7,U5 small nuclear ribonucleoprotein 40 kDa protein OS=Homo sapiens GN=SNRNP40 PE=1 SV=1,SNRNP40
Q9H6K4,Optic atrophy 3 protein OS=Homo sapiens GN=OPA3 PE=1 SV=1,OPA3
A8MWD9,Putative small nuclear ribonucleoprotein G-like protein 15 OS=Homo sapiens GN=SNRPGP15 PE=5 SV=2,SNRPGP15
D6RAN4,60S ribosomal protein L9 (Fragment) OS=Homo sapiens GN=RPL9 PE=1 SV=6,RPL9
Q56VL3,OCIA domain-containing protein 2 OS=Homo sapiens GN=OCIAD2 PE=1 SV=1,OCIAD2
H0YBX6,Ubiquitin-conjugating enzyme E2 variant 2 (Fragment) OS=Homo sapiens GN=UBE2V2 PE=1 SV=1,UBE2V2
P11021,78 kDa glucose-regulated protein OS=Homo sapiens GN=HSPA5 PE=1 SV=2,HSPA5
Q9ULD0,"2-oxoglutarate dehydrogenase-like, mitochondrial OS=Homo sapiens GN=OGDHL PE=1 SV=3",OGDHL
P11137,Microtubule-associated protein 2 OS=Homo sapiens GN=MAP2 PE=1 SV=4,MAP2
P51570,Galactokinase OS=Homo sapiens GN=GALK1 PE=1 SV=1,GALK1
O15056,Synaptojanin-2 OS=Homo sapiens GN=SYNJ2 PE=1 SV=3,SYNJ2
P53621,Coatomer subunit alpha OS=Homo sapiens GN=COPA PE=1 SV=2,COPA
Q15323,"Keratin, type I cuticular Ha1 OS=Homo sapiens GN=KRT31 PE=1 SV=3",KRT31
O96009,Napsin-A OS=Homo sapiens GN=NAPSA PE=1 SV=1,NAPSA
Q14137,Ribosome biogenesis protein BOP1 OS=Homo sapiens GN=BOP1 PE=1 SV=2,BOP1
G3V226,Calmodulin OS=Homo sapiens GN=CALM1 PE=1 SV=1,CALM1
A0A0A6YYL2,Sulfotransferase OS=Homo sapiens GN=SULT1A4 PE=1 SV=1,SULT1A4
P62318,Small nuclear ribonucleoprotein Sm D3 OS=Homo sapiens GN=SNRPD3 PE=1 SV=1,SNRPD3
K7ENG2,Splicing factor U2AF 65 kDa subunit OS=Homo sapiens GN=U2AF2 PE=1 SV=1,U2AF2
Q96DC8,"Enoyl-CoA hydratase domain-containing protein 3, mitochondrial OS=Homo sapiens GN=ECHDC3 PE=1 SV=2",ECHDC3
Q5T750,Skin-specific protein 32 OS=Homo sapiens GN=XP32 PE=1 SV=1,XP32
P61106,Ras-related protein Rab-14 OS=Homo sapiens GN=RAB14 PE=1 SV=4,RAB14
P62316,Small nuclear ribonucleoprotein Sm D2 OS=Homo sapiens GN=SNRPD2 PE=1 SV=1,SNRPD2
A6NHL2,Tubulin alpha chain-like 3 OS=Homo sapiens GN=TUBAL3 PE=1 SV=2,TUBAL3
Q9NTJ5,Phosphatidylinositide phosphatase SAC1 OS=Homo sapiens GN=SACM1L PE=1 SV=2,SACM1L
Q5TBK7,Ubiquitin carboxyl-terminal hydrolase isozyme L3 (Fragment) OS=Homo sapiens GN=UCHL3 PE=1 SV=1,UCHL3
Q92841,Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens GN=DDX17 PE=1 SV=1,DDX17
Q12874,Splicing factor 3A subunit 3 OS=Homo sapiens GN=SF3A3 PE=1 SV=1,SF3A3
P51858,Hepatoma-derived growth factor OS=Homo sapiens GN=HDGF PE=1 SV=1,HDGF
P14923,Junction plakoglobin OS=Homo sapiens GN=JUP PE=1 SV=3,JUP
Q5JTV8,Torsin-1A-interacting protein 1 OS=Homo sapiens GN=TOR1AIP1 PE=1 SV=2,TOR1AIP1
H7C3Z4,Tensin-1 (Fragment) OS=Homo sapiens GN=TNS1 PE=1 SV=1,TNS1
Q2TB90,Putative hexokinase HKDC1 OS=Homo sapiens GN=HKDC1 PE=1 SV=3,HKDC1
Q5SY16,Polynucleotide 5'-hydroxyl-kinase NOL9 OS=Homo sapiens GN=NOL9 PE=1 SV=1,NOL9
J3QQ67,60S ribosomal protein L18 (Fragment) OS=Homo sapiens GN=RPL18 PE=1 SV=1,RPL18
Q9UIF3,Tektin-2 OS=Homo sapiens GN=TEKT2 PE=1 SV=1,TEKT2
P49916,DNA ligase 3 OS=Homo sapiens GN=LIG3 PE=1 SV=2,LIG3
P55795,Heterogeneous nuclear ribonucleoprotein H2 OS=Homo sapiens GN=HNRNPH2 PE=1 SV=1,HNRNPH2
Q15424,Scaffold attachment factor B1 OS=Homo sapiens GN=SAFB PE=1 SV=4,SAFB
B1ALM3,Voltage-dependent L-type calcium channel subunit alpha-1S OS=Homo sapiens GN=CACNA1S PE=1 SV=1,CACNA1S
H0Y8D7,UDP-glucuronosyltransferase 1-7 (Fragment) OS=Homo sapiens GN=UGT1A7 PE=1 SV=1,UGT1A7
Q99541,Perilipin-2 OS=Homo sapiens GN=PLIN2 PE=1 SV=2,PLIN2
O15111,Inhibitor of nuclear factor kappa-B kinase subunit alpha OS=Homo sapiens GN=CHUK PE=1 SV=2,CHUK
P36871,Phosphoglucomutase-1 OS=Homo sapiens GN=PGM1 PE=1 SV=3,PGM1
Q9BUF5,Tubulin beta-6 chain OS=Homo sapiens GN=TUBB6 PE=1 SV=1,TUBB6
P62424,60S ribosomal protein L7a OS=Homo sapiens GN=RPL7A PE=1 SV=2,RPL7A
A0A0D9SGC1,Unconventional myosin-VI OS=Homo sapiens GN=MYO6 PE=1 SV=1,MYO6
Q15599,Na(+)/H(+) exchange regulatory cofactor NHE-RF2 OS=Homo sapiens GN=SLC9A3R2 PE=1 SV=2,SLC9A3R2
Q8IUE6,Histone H2A type 2-B OS=Homo sapiens GN=HIST2H2AB PE=1 SV=3,HIST2H2AB
P10155,60 kDa SS-A/Ro ribonucleoprotein OS=Homo sapiens GN=TROVE2 PE=1 SV=2,TROVE2
D6RDW0,PR domain zinc finger protein 16 OS=Homo sapiens GN=PRDM16 PE=1 SV=1,PRDM16
P45880,Voltage-dependent anion-selective channel protein 2 OS=Homo sapiens GN=VDAC2 PE=1 SV=2,VDAC2
Q8IVH8,Mitogen-activated protein kinase kinase kinase kinase 3 OS=Homo sapiens GN=MAP4K3 PE=1 SV=1,MAP4K3
F5H5P2,Uncharacterized protein OS=Homo sapiens PE=4 SV=1,4
Q9NUJ1,"Mycophenolic acid acyl-glucuronide esterase, mitochondrial OS=Homo sapiens GN=ABHD10 PE=1 SV=1",ABHD10
O15371,Eukaryotic translation initiation factor 3 subunit D OS=Homo sapiens GN=EIF3D PE=1 SV=1,EIF3D
O76011,"Keratin, type I cuticular Ha4 OS=Homo sapiens GN=KRT34 PE=2 SV=2",KRT34
Q16864,V-type proton ATPase subunit F OS=Homo sapiens GN=ATP6V1F PE=1 SV=2,ATP6V1F
O15198,Mothers against decapentaplegic homolog 9 OS=Homo sapiens GN=SMAD9 PE=1 SV=1,SMAD9
Q14651,Plastin-1 OS=Homo sapiens GN=PLS1 PE=1 SV=2,PLS1
P30044,"Peroxiredoxin-5, mitochondrial OS=Homo sapiens GN=PRDX5 PE=1 SV=4",PRDX5
Q5T653,"39S ribosomal protein L2, mitochondrial OS=Homo sapiens GN=MRPL2 PE=1 SV=2",MRPL2
A0A087WYS1,UTP--glucose-1-phosphate uridylyltransferase OS=Homo sapiens GN=UGP2 PE=1 SV=1,UGP2
H0YDM3,Protein SAAL1 (Fragment) OS=Homo sapiens GN=SAAL1 PE=1 SV=1,SAAL1
E5RH60,Uncharacterized protein C8orf46 OS=Homo sapiens GN=C8orf46 PE=1 SV=1,C8orf46
Q99832,T-complex protein 1 subunit eta OS=Homo sapiens GN=CCT7 PE=1 SV=2,CCT7
A0A0C4DH03,Rho-related GTP-binding protein RhoQ OS=Homo sapiens GN=RHOQ PE=1 SV=1,RHOQ
H0YNN7,UPF0258 protein KIAA1024 OS=Homo sapiens GN=KIAA1024 PE=4 SV=1,KIAA1024
Q9UGJ0,5'-AMP-activated protein kinase subunit gamma-2 OS=Homo sapiens GN=PRKAG2 PE=1 SV=1,PRKAG2
P41250,Glycine--tRNA ligase OS=Homo sapiens GN=GARS PE=1 SV=3,GARS
Q9NQH7,Probable Xaa-Pro aminopeptidase 3 OS=Homo sapiens GN=XPNPEP3 PE=1 SV=1,XPNPEP3
P33176,Kinesin-1 heavy chain OS=Homo sapiens GN=KIF5B PE=1 SV=1,KIF5B
P17066,Heat shock 70 kDa protein 6 OS=Homo sapiens GN=HSPA6 PE=1 SV=2,HSPA6
Q9BT30,"Alpha-ketoglutarate-dependent dioxygenase alkB homolog 7, mitochondrial OS=Homo sapiens GN=ALKBH7 PE=1 SV=1",ALKBH7
Q5QPL9,RNA-binding protein Raly (Fragment) OS=Homo sapiens GN=RALY PE=1 SV=1,RALY
Q5T2W1,Na(+)/H(+) exchange regulatory cofactor NHE-RF3 OS=Homo sapiens GN=PDZK1 PE=1 SV=2,PDZK1
O60231,Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16 OS=Homo sapiens GN=DHX16 PE=1 SV=2,DHX16
P62304,Small nuclear ribonucleoprotein E OS=Homo sapiens GN=SNRPE PE=1 SV=1,SNRPE
Q15836,Vesicle-associated membrane protein 3 OS=Homo sapiens GN=VAMP3 PE=1 SV=3,VAMP3
Q8IXT5,RNA-binding protein 12B OS=Homo sapiens GN=RBM12B PE=1 SV=2,RBM12B
Q13228,Selenium-binding protein 1 OS=Homo sapiens GN=SELENBP1 PE=1 SV=2,SELENBP1
Q13045,Protein flightless-1 homolog OS=Homo sapiens GN=FLII PE=1 SV=2,FLII
O43172,U4/U6 small nuclear ribonucleoprotein Prp4 OS=Homo sapiens GN=PRPF4 PE=1 SV=2,PRPF4
Q8TDD1,ATP-dependent RNA helicase DDX54 OS=Homo sapiens GN=DDX54 PE=1 SV=2,DDX54
P80365,Corticosteroid 11-beta-dehydrogenase isozyme 2 OS=Homo sapiens GN=HSD11B2 PE=1 SV=2,HSD11B2
P17676,CCAAT/enhancer-binding protein beta OS=Homo sapiens GN=CEBPB PE=1 SV=2,CEBPB
J3KQ32,Obg-like ATPase 1 OS=Homo sapiens GN=OLA1 PE=1 SV=1,OLA1
Q96HY7,"Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial OS=Homo sapiens GN=DHTKD1 PE=1 SV=2",DHTKD1
O94760,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1 OS=Homo sapiens GN=DDAH1 PE=1 SV=3",DDAH1
A0A0A0MTH3,Integrin-linked protein kinase OS=Homo sapiens GN=ILK PE=1 SV=1,ILK
H7C5L4,Filamin-B (Fragment) OS=Homo sapiens GN=FLNB PE=1 SV=1,FLNB
P50135,Histamine N-methyltransferase OS=Homo sapiens GN=HNMT PE=1 SV=1,HNMT
P08263,Glutathione S-transferase A1 OS=Homo sapiens GN=GSTA1 PE=1 SV=3,GSTA1
P02768,Serum albumin OS=Homo sapiens GN=ALB PE=1 SV=2,ALB
Q9UJZ1,"Stomatin-like protein 2, mitochondrial OS=Homo sapiens GN=STOML2 PE=1 SV=1",STOML2
A0A087WUZ3,"Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTBN1 PE=1 SV=1",SPTBN1
Q86XE5,"4-hydroxy-2-oxoglutarate aldolase, mitochondrial OS=Homo sapiens GN=HOGA1 PE=1 SV=1",HOGA1
O95470,Sphingosine-1-phosphate lyase 1 OS=Homo sapiens GN=SGPL1 PE=1 SV=3,SGPL1
O60488,Long-chain-fatty-acid--CoA ligase 4 OS=Homo sapiens GN=ACSL4 PE=1 SV=2,ACSL4
Q96A35,"39S ribosomal protein L24, mitochondrial OS=Homo sapiens GN=MRPL24 PE=1 SV=1",MRPL24
Q15904,V-type proton ATPase subunit S1 OS=Homo sapiens GN=ATP6AP1 PE=1 SV=2,ATP6AP1
P22307,Non-specific lipid-transfer protein OS=Homo sapiens GN=SCP2 PE=1 SV=2,SCP2
Q9UF12,Probable proline dehydrogenase 2 OS=Homo sapiens GN=PRODH2 PE=2 SV=1,PRODH2
A0A0G2JJE4,Myelin-oligodendrocyte glycoprotein (Fragment) OS=Homo sapiens GN=MOG PE=1 SV=1,MOG
H0YI43,Myosin light polypeptide 6 (Fragment) OS=Homo sapiens GN=MYL6 PE=1 SV=1,MYL6
H0YL43,Reticulocalbin-2 (Fragment) OS=Homo sapiens GN=RCN2 PE=1 SV=1,RCN2
K7EMU7,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1 OS=Homo sapiens GN=PIN1 PE=1 SV=1,PIN1
Q9UNF0,Protein kinase C and casein kinase substrate in neurons protein 2 OS=Homo sapiens GN=PACSIN2 PE=1 SV=2,PACSIN2
Q9H9S4,Calcium-binding protein 39-like OS=Homo sapiens GN=CAB39L PE=1 SV=3,CAB39L
A0A087WY71,AP-2 complex subunit mu OS=Homo sapiens GN=AP2M1 PE=1 SV=1,AP2M1
Q5JPI3,Uncharacterized protein C3orf38 OS=Homo sapiens GN=C3orf38 PE=1 SV=1,C3orf38
P22059,Oxysterol-binding protein 1 OS=Homo sapiens GN=OSBP PE=1 SV=1,OSBP
Q96MU7,YTH domain-containing protein 1 OS=Homo sapiens GN=YTHDC1 PE=1 SV=3,YTHDC1
Q6PKG0,La-related protein 1 OS=Homo sapiens GN=LARP1 PE=1 SV=2,LARP1
Q15751,Probable E3 ubiquitin-protein ligase HERC1 OS=Homo sapiens GN=HERC1 PE=1 SV=2,HERC1
G5E9M0,"Phytanoyl-CoA dioxygenase domain containing 1, isoform CRA_c OS=Homo sapiens GN=PHYHD1 PE=1 SV=1",PHYHD1
Q02218,"2-oxoglutarate dehydrogenase, mitochondrial OS=Homo sapiens GN=OGDH PE=1 SV=3",OGDH
Q15149,Plectin OS=Homo sapiens GN=PLEC PE=1 SV=3,PLEC
P21397,Amine oxidase [flavin-containing] A OS=Homo sapiens GN=MAOA PE=1 SV=1,MAOA
P02647,Apolipoprotein A-I OS=Homo sapiens GN=APOA1 PE=1 SV=1,APOA1
A0A087WUY4,Cytochrome P450 4A22 OS=Homo sapiens GN=CYP4A22 PE=1 SV=1,CYP4A22
P62826,GTP-binding nuclear protein Ran OS=Homo sapiens GN=RAN PE=1 SV=3,RAN
F8W9U3,Alpha/beta hydrolase domain-containing protein 14B OS=Homo sapiens GN=ABHD14B PE=1 SV=1,ABHD14B
A0A087WWI6,DDB1- and CUL4-associated factor 7 (Fragment) OS=Homo sapiens GN=DCAF7 PE=1 SV=4,DCAF7
A0A087WU02,Endoplasmic reticulum-Golgi intermediate compartment protein 2 OS=Homo sapiens GN=ERGIC2 PE=1 SV=1,ERGIC2
P02489,Alpha-crystallin A chain OS=Homo sapiens GN=CRYAA PE=1 SV=2,CRYAA
P54289,Voltage-dependent calcium channel subunit alpha-2/delta-1 OS=Homo sapiens GN=CACNA2D1 PE=1 SV=3,CACNA2D1
Q5VZ46,Uncharacterized protein KIAA1614 OS=Homo sapiens GN=KIAA1614 PE=2 SV=3,KIAA1614
Q14469,Transcription factor HES-1 OS=Homo sapiens GN=HES1 PE=1 SV=1,HES1
P31946,14-3-3 protein beta/alpha OS=Homo sapiens GN=YWHAB PE=1 SV=3,YWHAB
Q8NF91,Nesprin-1 OS=Homo sapiens GN=SYNE1 PE=1 SV=4,SYNE1
Q6ZUX3,Protein FAM179A OS=Homo sapiens GN=FAM179A PE=2 SV=2,FAM179A
P61163,Alpha-centractin OS=Homo sapiens GN=ACTR1A PE=1 SV=1,ACTR1A
Q9BYT8,"Neurolysin, mitochondrial OS=Homo sapiens GN=NLN PE=1 SV=1",NLN
P78329,Phylloquinone omega-hydroxylase CYP4F2 OS=Homo sapiens GN=CYP4F2 PE=1 SV=1,CYP4F2
Q12768,WASH complex subunit strumpellin OS=Homo sapiens GN=KIAA0196 PE=1 SV=1,KIAA0196
Q08J23,tRNA (cytosine(34)-C(5))-methyltransferase OS=Homo sapiens GN=NSUN2 PE=1 SV=2,NSUN2
P27487,Dipeptidyl peptidase 4 OS=Homo sapiens GN=DPP4 PE=1 SV=2,DPP4
O75366,Advillin OS=Homo sapiens GN=AVIL PE=1 SV=3,AVIL
Q96BM9,ADP-ribosylation factor-like protein 8A OS=Homo sapiens GN=ARL8A PE=1 SV=1,ARL8A
P50851,Lipopolysaccharide-responsive and beige-like anchor protein OS=Homo sapiens GN=LRBA PE=1 SV=4,LRBA
G3V292,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform OS=Homo sapiens GN=PPP2R5C PE=1 SV=1,PPP2R5C
O43747,AP-1 complex subunit gamma-1 OS=Homo sapiens GN=AP1G1 PE=1 SV=5,AP1G1
K7EP90,RNA-binding protein 42 OS=Homo sapiens GN=RBM42 PE=1 SV=1,RBM42
P27694,Replication protein A 70 kDa DNA-binding subunit OS=Homo sapiens GN=RPA1 PE=1 SV=2,RPA1
