Gene_Symbol,ESM2_Cluster,AE_Cluster,Matrisome_Category,Matrisome_Division,Protein_ID,Protein_Name,UMAP1_AE,UMAP2_AE,UMAP1_ESM2,UMAP2_ESM2
Sparcl1,-1,-1,ECM Glycoproteins,Core matrisome,P70663,SPARC-like protein 1 (Extracellular matrix protein 2) (Matrix glycoprotein Sc1),2.507887,7.378047,1.2382318,4.8780007
Spock1,10,12,Proteoglycans,Core matrisome,Q8BKQ3,,-1.1026434,6.0511675,4.5914283,6.2226653
Spock2,14,12,Proteoglycans,Core matrisome,Q9ER58,,-1.2449071,5.7922525,4.358238,5.7741313
Spon1,7,8,ECM Glycoproteins,Core matrisome,Q8VCC9,Spondin-1 (F-spondin),-0.36524534,6.11907,2.2156055,6.382328
Srpx,4,5,ECM Glycoproteins,Core matrisome,Q9R0M3,Sushi-repeat-containing protein SRPX (DRS protein),0.6990898,10.013831,1.2021055,1.1788388
Srpx2,9,-1,ECM Glycoproteins,Core matrisome,Q8R054,Sushi repeat-containing protein SRPX2,3.7383375,9.726574,0.62321925,1.0033046
Sulf2,-1,-1,ECM Regulators,Matrisome-associated,Q8CFG0,Extracellular sulfatase Sulf-2 (mSulf-2) (EC 3.1.6.-),9.064183,10.430444,-0.48936296,2.9117088
TCHH,8,9,Secreted Factors,Matrisome-associated,Q07283,Trichohyalin,19.891388,11.970659,-18.058224,14.492402
TGFB1,-1,-1,Secreted Factors,Matrisome-associated,P01137,Transforming growth factor beta-1;Latency-associated peptide,10.83165,8.979904,-17.843,14.672669
TGFB2,22,20,Secreted Factors,Matrisome-associated,Q3TWH5,Transforming growth factor beta-2;Latency-associated peptide,7.063749,10.369995,-0.273843,3.5395122
TGFBI,-1,-1,ECM Glycoproteins,Core matrisome,Q15582,Transforming growth factor-beta-induced protein ig-h3,12.771672,8.213102,-6.279502,1.502965
TGM1,-1,-1,ECM Regulators,Matrisome-associated,Q9JLF6,Protein-glutamine gamma-glutamyltransferase K,13.935996,6.4099903,-4.1445727,2.0943723
TGM2,-1,-1,ECM Regulators,Matrisome-associated,P21980,Protein-glutamine gamma-glutamyltransferase 2,12.75301,8.09942,-6.3909225,0.9365023
TGM3,-1,-1,ECM Regulators,Matrisome-associated,Q08188,Protein-glutamine gamma-glutamyltransferase E;Protein-glutamine gamma-glutamyltransferase E 50 kDa catalytic chain;Protein-glutamine gamma-glutamyltransferase E 27 kDa non-catalytic chain,14.508248,9.59837,-5.7183385,-1.973627
TGM5,8,9,ECM Regulators,Matrisome-associated,O43548,Protein-glutamine gamma-glutamyltransferase 5,20.082901,12.591712,-17.955091,15.115527
THBS1,-1,-1,ECM Glycoproteins,Core matrisome,P07996,Thrombospondin-1,14.880872,7.863699,-4.180277,-0.0023903418
THBS2,8,-1,ECM Glycoproteins,Core matrisome,P35442,Thrombospondin-2,20.06287,12.013277,-17.788132,14.598227
THBS3,-1,-1,ECM Glycoproteins,Core matrisome,P49746,Thrombospondin-3,13.825721,9.660959,-6.0906677,-1.116597
THBS4,-1,-1,ECM Glycoproteins,Core matrisome,P35443,Thrombospondin-4,14.96076,4.4570174,-4.208344,7.9511976
THSD4,0,-1,ECM Glycoproteins,Core matrisome,Q6ZMP0,Thrombospondin type-1 domain-containing protein 4,16.708885,5.404456,-0.98230606,11.729721
TIMP1,-1,-1,ECM Regulators,Matrisome-associated,P01033,Metalloproteinase inhibitor 1,12.521068,8.653697,-4.175771,2.1190324
TIMP2,-1,-1,ECM Regulators,Matrisome-associated,P16035,Metalloproteinase inhibitor 2,11.266538,10.672603,-6.9169946,-1.7881589
TIMP3,-1,-1,ECM Regulators,Matrisome-associated,P35625,Metalloproteinase inhibitor 3,12.050168,6.8951335,-7.0063787,2.7260907
TINAG,-1,-1,ECM Glycoproteins,Core matrisome,Q9WUR0,Tubulointerstitial nephritis antigen-like,14.612682,6.7311687,-4.493184,1.7119226
TINAGL1,-1,-1,ECM Glycoproteins,Core matrisome,Q9GZM7,Tubulointerstitial nephritis antigen-like,14.633449,7.1585693,-4.9353023,-0.560369
TNC,-1,-1,ECM Glycoproteins,Core matrisome,P24821,Tenascin,12.184264,8.044173,-6.1732616,0.72520065
TNFAIP6,-1,-1,ECM Glycoproteins,Core matrisome,P98066,Tumor necrosis factor-inducible gene 6 protein,7.623394,9.893428,-8.664093,2.8690636
TNFSF10,-1,-1,Secreted Factors,Matrisome-associated,P50591,Tumor necrosis factor ligand superfamily member 10,7.2797284,9.042403,-12.543926,1.7777486
TNFSF12,21,21,Secreted Factors,Matrisome-associated,Q5F2A0,"Tumor necrosis factor ligand superfamily member 12;Tumor necrosis factor ligand superfamily member 12, membrane form;Tumor necrosis factor ligand superfamily member 12, secreted form",7.4911366,11.2964115,-0.8747886,3.4750416
TNFSF13,-1,-1,Secreted Factors,Matrisome-associated,O75888,Tumor necrosis factor ligand superfamily member 13,14.457738,9.68198,-5.703375,-1.947991
TNFSFM13;TNFSF13,15,17,Secreted Factors,Matrisome-associated,Q8BXS2,Tumor necrosis factor ligand superfamily member 13,8.121278,11.445343,-7.283998,0.3739701
TNN,17,18,ECM Glycoproteins,Core matrisome,Q9UQP3,Tenascin-N,5.7772226,13.2044,-12.787446,2.1436021
TNXB,-1,-1,ECM Glycoproteins,Core matrisome,P22105,Tenascin-X,11.352844,8.672438,-5.763494,-0.54138803
TRY10,5,6,ECM Regulators,Matrisome-associated,Q792Z1,MCG140784,15.3543625,7.571569,-3.8855567,-0.16596904
TSKU,18,-1,ECM Glycoproteins,Core matrisome,Q8WUA8,Tsukushin,8.186043,12.126831,-9.510412,-1.0982211
TSPEAR,8,9,ECM Glycoproteins,Core matrisome,Q8WU66,Thrombospondin-type laminin G domain and EAR repeat-containing protein,20.335966,12.4565525,-17.774782,15.158872
Tgfbi,-1,-1,ECM Glycoproteins,Core matrisome,P82198,Transforming growth factor-beta-induced protein ig-h3 (Beta ig-h3),1.1311096,8.546393,0.4096992,2.709809
Tgm1,-1,-1,ECM Regulators,Matrisome-associated,Q9JLF6,Protein-glutamine gamma-glutamyltransferase K (EC 2.3.2.13) (Epidermal TGase) (Transglutaminase K) (TG(K)) (TGK) (TGase K) (Transglutaminase-1) (TGase-1),6.821546,11.041899,-0.1967413,4.000834
Tgm2,-1,-1,ECM Regulators,Matrisome-associated,P21981,Protein-glutamine gamma-glutamyltransferase 2 (EC 2.3.2.13) (Tissue transglutaminase) (Transglutaminase C) (TG(C)) (TGC) (TGase C) (Transglutaminase-2) (TGase-2),1.9590964,9.713445,2.0384843,2.7096221
Thbs1,-1,-1,ECM Glycoproteins,Core matrisome,P35441,Thrombospondin-1 (Glycoprotein G),0.616599,9.762436,1.0817424,1.1804333
Thbs2,-1,-1,ECM Glycoproteins,Core matrisome,Q03350,,0.94526404,8.666151,0.5525868,2.459215
Thbs3,-1,-1,ECM Glycoproteins,Core matrisome,Q05895,Thrombospondin-3,2.2834156,7.0159984,0.32037607,4.5268784
Thbs4,-1,-1,ECM Glycoproteins,Core matrisome,Q9Z1T2,Thrombospondin-4,1.1664321,8.704457,0.5460607,2.5753605
Timp2,14,12,ECM Regulators,Matrisome-associated,P25785,,-1.0397094,4.99658,4.4328146,5.3880897
Tinagl1,-1,-1,ECM Glycoproteins,Core matrisome,Q99JR5,Tubulointerstitial nephritis antigen-like (Adrenocortical zonation factor 1) (AZ-1) (Androgen-regulated gene 1 protein) (Tubulointerstitial nephritis antigen-related protein) (TARP),1.3860978,9.962408,2.3186135,2.247389
Tnc,-1,-1,ECM Glycoproteins,Core matrisome,Q80YX1,,-1.7970194,6.6335473,4.086731,6.434485
Tnr,14,12,ECM Glycoproteins,Core matrisome,Q8BYI9,,-1.3239237,5.243182,4.194927,5.5752444
Try4,13,-1,ECM Regulators,Matrisome-associated,Q9R0T7,,7.8692107,12.67842,3.3217287,4.6238766
VCAN,-1,-1,Proteoglycans,Core matrisome,P13611,Versican core protein,14.851132,7.418631,-6.2013106,0.7397217
VEGFA,-1,-1,Secreted Factors,Matrisome-associated,P15692,Vascular endothelial growth factor A,12.752079,10.363931,-6.678217,-1.2412161
VEGFB,8,9,Secreted Factors,Matrisome-associated,P49765,Vascular endothelial growth factor B,20.061045,12.599079,-17.974703,15.019665
VIT,-1,-1,ECM Glycoproteins,Core matrisome,Q6UXI7,Vitrin,14.334524,9.552862,-5.9032717,-1.3884187
VTN,-1,-1,ECM Glycoproteins,Core matrisome,P04004,Vitronectin;Vitronectin V65 subunit;Vitronectin V10 subunit;Somatomedin-B,12.485204,6.739541,-7.5820804,3.0885954
VWA1,-1,-1,ECM Glycoproteins,Core matrisome,Q6PCB0,von Willebrand factor A domain-containing protein 1,13.090991,8.052177,-6.260791,0.9075481
VWA2,8,9,ECM Glycoproteins,Core matrisome,Q5GFL6,von Willebrand factor A domain-containing protein 2,20.03997,12.555986,-17.93774,15.102722
VWA3B,-1,-1,ECM Glycoproteins,Core matrisome,J9JI28,Protein Vwa3b,10.569734,9.121301,-0.5984967,3.5007477
VWA5A,0,0,ECM Glycoproteins,Core matrisome,O00534,von Willebrand factor A domain-containing protein 5A,16.609295,5.5764,-1.0637771,11.706565
VWA9,-1,-1,ECM Glycoproteins,Core matrisome,Q8R3P6,von Willebrand factor A domain-containing protein 9,15.184087,7.673729,-3.9474168,-0.051336866
VWF,-1,-1,ECM Glycoproteins,Core matrisome,P04275,von Willebrand factor;von Willebrand antigen 2,12.592528,6.1345243,-8.597534,2.7212365
Vcan,-1,-1,Proteoglycans,Core matrisome,E9PYH0,Versican core protein (Chondroitin sulfate proteoglycan core protein 2) (Chondroitin sulfate proteoglycan 2) (Large fibroblast proteoglycan) (PG-M),2.0014071,9.645508,1.7979239,2.5072782
Vtn,-1,-1,ECM Glycoproteins,Core matrisome,P29788,Vitronectin (VN) (S-protein) (Serum-spreading factor),0.6486435,9.601578,0.7540934,1.4781052
Vwa1,-1,-1,ECM Glycoproteins,Core matrisome,Q8R2Z5,von Willebrand factor A domain-containing protein 1 (von Willebrand factor A domain-related protein),1.8141216,9.729222,1.4636923,2.861784
Vwa5a,-1,-1,ECM Glycoproteins,Core matrisome,Q99KC8,von Willebrand factor A domain-containing protein 5A (Loss of heterozygosity 11 chromosomal region 2 gene A protein homolog),2.4303415,7.362693,0.7200816,5.0412297
Vwa5b2,-1,-1,ECM Glycoproteins,Core matrisome,Q3UR50,,-1.3580405,5.460025,3.8594284,5.5413184
Vwf,-1,-1,ECM Glycoproteins,Core matrisome,E9QPU1,von Willebrand factor (vWF) [Cleaved into: von Willebrand antigen 2 (von Willebrand antigen II)],-1.3960353,6.076318,4.171591,6.132081
WFIKKN2,18,22,Secreted Factors,Matrisome-associated,Q8TEU8,"WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2",8.477184,12.304373,-9.639554,-1.3469684
WIF1,-1,-1,Secreted Factors,Matrisome-associated,Q9Y5W5,Wnt inhibitory factor 1,6.9700203,10.610083,-11.058118,1.9963404
WISP2,-1,-1,ECM Glycoproteins,Core matrisome,O76076,WNT1-inducible-signaling pathway protein 2,12.496255,6.2921124,-8.414924,2.6542115
WISP3,-1,-1,ECM Glycoproteins,Core matrisome,O95389,WNT1-inducible-signaling pathway protein 3,10.392111,11.079497,-8.095571,-1.3641479
WNT11,17,18,Secreted Factors,Matrisome-associated,O96014,Protein Wnt-11,5.924895,13.230804,-12.676419,2.210612
WNT3A,22,20,Secreted Factors,Matrisome-associated,P27467,Protein Wnt-3a,7.083581,10.46315,-0.24902084,3.380806
WNT4,-1,-1,Secreted Factors,Matrisome-associated,Q3ZB23,Protein Wnt;Protein Wnt-4,11.20416,8.328469,-4.9301357,0.50782627
WNT6,5,6,Secreted Factors,Matrisome-associated,P22727,Protein Wnt-6,15.405579,7.527449,-3.8215015,-0.1512723
WNT9A,22,20,Secreted Factors,Matrisome-associated,Q6NZE9,Protein Wnt;Protein Wnt-9a,7.0941596,10.389434,-0.31265116,3.5103102
Wnt10a,-1,-1,Secreted Factors,Matrisome-associated,P70701,,-0.88419807,4.30938,3.557971,4.9303255
ZP1,5,6,ECM Glycoproteins,Core matrisome,Q62005,Zona pellucida sperm-binding protein 1,15.293368,7.5815415,-3.9380891,-0.105041414
ZP2,5,6,ECM Glycoproteins,Core matrisome,P20239,Zona pellucida sperm-binding protein 2,15.356345,7.5638323,-3.8354452,-0.16281466
ZP3,5,6,ECM Glycoproteins,Core matrisome,P10761,Zona pellucida sperm-binding protein 3,15.365647,7.5914736,-3.8324575,-0.119878486
ZP4,-1,-1,ECM Glycoproteins,Core matrisome,Q12836,Zona pellucida sperm-binding protein 4,14.404884,8.229345,-5.7414837,0.12335252
