Gene_Symbol,Protein_Name,Matrisome_Category,Matrisome_Division,N_Tissues,N_Measurements,Direction_Consistency,Predominant_Direction,N_Upregulated,N_Downregulated,Mean_Zscore_Delta,Abs_Mean_Zscore_Delta,Median_Zscore_Delta,Std_Zscore_Delta,N_Strong_Effects,Strong_Effect_Rate,T_Statistic,P_Value,Universality_Score,Balance_Difference
SYNCRIP,Heterogeneous nuclear ribonucleoprotein Q OS=Homo sapiens GN=SYNCRIP PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0780283605565428,0.1386792020709841,-0.0780283605565428,0.1961220083878648,0,0.0,,,0.1991620378541572,0
HIBCH,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial (Fragment) OS=Homo sapiens GN=HIBCH PE=1 SV=1",Unknown,Unknown,2,4,0.75,DOWN,1,3,-0.3570178638565506,0.3966326911277993,-0.1152331801490092,0.6200607829906356,1,0.25,-1.151557633219782,0.3329505973755262,0.4333672672847335,2
RPL23,60S ribosomal protein L23 OS=Homo sapiens GN=RPL23 PE=1 SV=1,Unknown,Unknown,2,4,0.75,DOWN,1,3,-0.0702994313377456,0.1668449364269433,-0.0602289972324045,0.2279942761871579,0,0.0,-0.6166771597374452,0.5810864339615036,0.3607613244974523,2
CYP27A1,"Sterol 26-hydroxylase, mitochondrial (Fragment) OS=Homo sapiens GN=CYP27A1 PE=1 SV=1",Unknown,Unknown,2,4,0.75,DOWN,1,3,-0.1104975813077195,0.2614137628348095,-0.0800622539595773,0.3650013737643792,1,0.25,-0.6054639201388294,0.5876054891901981,0.3689143960925001,2
GRID2IP,Delphilin OS=Homo sapiens GN=GRID2IP PE=4 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.026794034005802,0.644575274349925,-0.026794034005802,0.9115670949560224,2,1.0,,,0.2497516450820513,0
TNS1,Tensin-1 (Fragment) OS=Homo sapiens GN=TNS1 PE=1 SV=1,Unknown,Unknown,2,6,0.6666666666666666,DOWN,2,4,-0.0502347042135605,0.2313426990633259,-0.1759896817779599,0.2589929475653089,0,0.0,-0.4751071172385292,0.6547394432022944,0.3274804989129325,2
PPP2R1A,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform (Fragment) OS=Homo sapiens GN=PPP2R1A PE=1 SV=2,Unknown,Unknown,2,4,0.75,DOWN,1,3,-0.0235234342744576,0.2290629492192748,-0.1139454107158929,0.3040263967693931,0,0.0,-0.154745999192303,0.8868464306805007,0.3058311264328861,2
TF,Serotransferrin (Fragment) OS=Homo sapiens GN=TF PE=1 SV=6,Unknown,Unknown,2,4,0.75,UP,3,1,0.2242805542186197,0.3123432231433146,0.1197570845199163,0.4359782851179022,1,0.25,1.0288611239340384,0.3792396083890629,0.4156805182835776,2
ECI2,"Enoyl-CoA delta isomerase 2, mitochondrial (Fragment) OS=Homo sapiens GN=ECI2 PE=1 SV=1",Unknown,Unknown,2,4,0.75,DOWN,1,3,-0.0065852422300239,0.2445567143253643,-0.0981181903757803,0.3376695821941801,0,0.0,-0.039004059455003,0.97133760207271,0.2904822686650532,2
LRPPRC,"Leucine-rich PPR motif-containing protein, mitochondrial (Fragment) OS=Homo sapiens GN=LRPPRC PE=1 SV=1",Unknown,Unknown,2,4,0.75,DOWN,1,3,-0.3500667691094252,0.4143838204404204,-0.4294815334594384,0.3440678853176459,2,0.5,-2.0348703499964325,0.1347103008171804,0.4747904395276647,2
CLEC5A,C-type lectin domain family 5 member A OS=Homo sapiens GN=CLEC5A PE=1 SV=1,ECM-affiliated Proteins,Matrisome-associated,2,2,0.5,DOWN,1,1,0.2205664492328105,0.2484380642409765,0.2205664492328105,0.3513444798593072,0,0.0,,,0.2101379240711564,0
TUBA4A,Tubulin alpha-4A chain (Fragment) OS=Homo sapiens GN=TUBA4A PE=1 SV=6,Unknown,Unknown,2,4,0.5,DOWN,2,2,0.2902960187726398,0.433517550622608,0.2297568563045844,0.5156662141319411,2,0.5,1.125906684661575,0.342143065722333,0.360217259564853,0
RPS4Y1,"40S ribosomal protein S4, Y isoform 1 (Fragment) OS=Homo sapiens GN=RPS4Y1 PE=1 SV=1",Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0029461860516724,0.0545444808187184,0.0029461860516724,0.0771375445264307,0,0.0,,,0.1907485657289306,0
LAMB4,Laminin subunit beta-4 OS=Homo sapiens GN=LAMB4 PE=1 SV=2,ECM Glycoproteins,Core matrisome,2,2,0.5,DOWN,1,1,-0.0997858087123484,0.1982135754467588,-0.0997858087123484,0.2803163266432691,0,0.0,,,0.2051154751917347,0
CHCHD3,MICOS complex subunit MIC19 OS=Homo sapiens GN=CHCHD3 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0683035359669722,0.3050996296684772,0.0683035359669722,0.4314760341521692,0,0.0,,,0.2158040806139065,0
MEST,Mesoderm-specific transcript homolog protein (Fragment) OS=Homo sapiens GN=MEST PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.25166474064408,0.849641034759326,0.25166474064408,1.201573874505349,2,1.0,,,0.2702582211229914,0
RCC1,Regulator of chromosome condensation (Fragment) OS=Homo sapiens GN=RCC1 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0796757013130384,0.0965930797360902,-0.0796757013130384,0.1366032433941646,0,0.0,,,0.1949534256206678,0
NFIX,Nuclear factor 1 OS=Homo sapiens GN=NFIX PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0030815335024027,0.0074346103614849,-0.0030815335024027,0.0105141268041714,0,0.0,,,0.1860375786832073,0
C11orf94,Uncharacterized protein C11orf94 OS=Homo sapiens GN=C11orf94 PE=3 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0270765711324352,0.2382944559891134,0.0270765711324352,0.3369992514981228,0,0.0,,,0.2091235632459701,0
SPTBN4,Non-erythrocytic beta-spectrin 4 OS=Homo sapiens GN=SPTBN4 PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.1791984353215686,0.1972932565868556,-0.1791984353215686,0.2790147992298861,0,0.0,,,0.2050234433057444,0
SYPL1,Synaptophysin-like protein 1 OS=Homo sapiens GN=SYPL1 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.2887775960672898,0.2983243851932751,-0.2887775960672898,0.421894391526945,1,0.5,,,0.2151265561663863,0
TUBA8,Tubulin alpha-8 chain (Fragment) OS=Homo sapiens GN=TUBA8 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.3012645458395983,0.3380878701052282,-0.3012645458395983,0.478128451176647,1,0.5,,,0.2191029046575816,0
UCHL1,Ubiquitin carboxyl-terminal hydrolase OS=Homo sapiens GN=UCHL1 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0939818114221003,0.1133504398146316,-0.0939818114221003,0.1603017292868072,0,0.0,,,0.1966291616285219,0
TMEM33,Transmembrane protein 33 (Fragment) OS=Homo sapiens GN=TMEM33 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0380918592724642,0.0543013664049431,-0.0380918592724642,0.0767937288252613,0,0.0,,,0.1907242542875531,0
HSD17B11,Estradiol 17-beta-dehydrogenase 11 OS=Homo sapiens GN=HSD17B11 PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.7293849829071711,0.8158538796168225,0.7293849829071711,1.1537916214688169,1,0.5,,,0.2668795056087411,0
PRDM16,PR domain zinc finger protein 16 OS=Homo sapiens GN=PRDM16 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.112631183685531,0.1757823676848698,0.112631183685531,0.2485938084059969,0,0.0,,,0.2028723544155458,0
MFSD10,Major facilitator superfamily domain-containing protein 10 OS=Homo sapiens GN=MFSD10 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.1587536929233345,0.7437070751570669,-0.1587536929233345,1.0517606321199506,2,1.0,,,0.2596648251627655,0
GNB2L1,Guanine nucleotide-binding protein subunit beta-2-like 1 (Fragment) OS=Homo sapiens GN=GNB2L1 PE=1 SV=6,Unknown,Unknown,2,4,0.5,DOWN,2,2,-0.0813171327452886,0.1862523955877953,-0.0808994203751986,0.2154919906440941,0,0.0,-0.7547114164404539,0.5052634216409576,0.3028666728776468,0
HNF1B,HNF1 beta A splice variant 3 OS=Homo sapiens GN=HNF1B PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0143584527076629,0.178666675368415,0.0143584527076629,0.2526728354501235,0,0.0,,,0.2031607851839003,0
OPA1,"Dynamin-like 120 kDa protein, mitochondrial OS=Homo sapiens GN=OPA1 PE=1 SV=1",Unknown,Unknown,2,2,0.5,DOWN,1,1,0.5452571644315098,0.7653822227956968,0.5452571644315098,1.0824139198769402,1,0.5,,,0.2618323399266285,0
DPYSL2,Dihydropyrimidinase-related protein 2 (Fragment) OS=Homo sapiens GN=DPYSL2 PE=1 SV=1,Unknown,Unknown,2,4,0.5,DOWN,2,2,-0.068279835775453,0.1797019004763941,-0.0945504067089109,0.2249423924564518,0,0.0,-0.6070873082642421,0.586658421433519,0.2859326234079944,0
DECR1,"2,4-dienoyl-CoA reductase, mitochondrial (Fragment) OS=Homo sapiens GN=DECR1 PE=1 SV=1",Unknown,Unknown,2,4,0.5,DOWN,2,2,-0.0673060371699959,0.5065014906682846,0.1128547746869729,0.6653364411425593,1,0.25,-0.2023218119675322,0.8526086824740338,0.2654225302190805,0
PMP2,Myelin P2 protein OS=Homo sapiens GN=PMP2 PE=4 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.2169364450258415,0.248899896938038,0.2169364450258415,0.3519976099230389,0,0.0,,,0.2101841073408626,0
C8orf46,Uncharacterized protein C8orf46 OS=Homo sapiens GN=C8orf46 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.1959635661867754,0.4161555794689916,0.1959635661867754,0.5885328645422823,1,0.5,,,0.226909675593958,0
RPL26L1,60S ribosomal protein L26-like 1 (Fragment) OS=Homo sapiens GN=RPL26L1 PE=1 SV=6,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0007465897202667,0.166745459621508,-0.0007465897202667,0.2358136904608719,0,0.0,,,0.2019686636092096,0
NEFM,Neurofilament medium polypeptide OS=Homo sapiens GN=NEFM PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0963040876463875,0.2545592653415539,-0.0963040876463875,0.3600011654737569,0,0.0,,,0.2107500441812142,0
TACC2,Transforming acidic coiled-coil-containing protein 2 OS=Homo sapiens GN=TACC2 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.1395189323267213,0.2525122024589156,0.1395189323267213,0.3571061813820992,0,0.0,,,0.2105453378929503,0
TNKS,Poly [ADP-ribose] polymerase OS=Homo sapiens GN=TNKS PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0049923295619678,0.0584155760823468,-0.0049923295619678,0.0826120999494922,0,0.0,,,0.1911356752552935,0
ACIN1,Apoptotic chromatin condensation inducer in the nucleus OS=Homo sapiens GN=ACIN1 PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0364800773705315,0.2199026523140331,-0.0364800773705315,0.310989313304321,0,0.0,,,0.2072843828784621,0
SNX19,Sorting nexin-19 OS=Homo sapiens GN=SNX19 PE=4 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0041877395742311,0.3278376562606259,0.0041877395742311,0.463632459740386,0,0.0,,,0.2180778832731214,0
ELAC2,Zinc phosphodiesterase ELAC protein 2 (Fragment) OS=Homo sapiens GN=ELAC2 PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.2677007643228147,0.312679858795193,-0.2677007643228147,0.4421960969890663,1,0.5,,,0.2165621035265781,0
NDUFA10,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial OS=Homo sapiens GN=NDUFA10 PE=1 SV=1",Unknown,Unknown,2,4,0.5,DOWN,2,2,-0.1156034731352616,0.3256934148164783,-0.0405269762657291,0.4506372776582672,1,0.25,-0.5130666230543292,0.6432965888215123,0.2892041413644042,0
C16orf62,UPF0505 protein C16orf62 OS=Homo sapiens GN=C16orf62 PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0609774768122409,0.1885134010894262,0.0609774768122409,0.2665982085097455,0,0.0,,,0.2041454577560014,0
PCCB,"Propionyl-CoA carboxylase beta chain, mitochondrial OS=Homo sapiens GN=PCCB PE=1 SV=1",Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0033308198256644,0.2205236930570054,-0.0033308198256644,0.3118675975458186,0,0.0,,,0.2073464869527593,0
LCK,Tyrosine-protein kinase Lck (Fragment) OS=Homo sapiens GN=LCK PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.1301125629034661,0.1475021703458921,-0.1301125629034661,0.2085995697826272,0,0.0,,,0.200044334681648,0
MAPK3,Mitogen-activated protein kinase 3 OS=Homo sapiens GN=MAPK3 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.3909371759249019,0.4858603163026503,0.3909371759249019,0.6871102487340899,1,0.5,,,0.2338801492773238,0
ZC3H11A,Zinc finger CCCH domain-containing protein 11A (Fragment) OS=Homo sapiens GN=ZC3H11A PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.2329295356011257,0.3473669600896494,-0.2329295356011257,0.4912510660790958,1,0.5,,,0.2200308136560237,0
HBD,Hemoglobin subunit delta OS=Homo sapiens GN=HBD PE=1 SV=1,Unknown,Unknown,2,4,0.75,DOWN,1,3,-0.0091693885943457,0.1752118961962656,-0.0351596635147439,0.2600221069562101,0,0.0,-0.0705277616713564,0.9482118989657506,0.2881729274735352,2
AMPD3,AMP deaminase 3 OS=Homo sapiens GN=AMPD3 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0045643158659837,0.1029764479843006,0.0045643158659837,0.1456306893444054,0,0.0,,,0.1955917624454889,0
PLEKHA7,Pleckstrin homology domain-containing family A member 7 OS=Homo sapiens GN=PLEKHA7 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0785845723426464,0.0850438831126215,-0.0785845723426464,0.1202702128947416,0,0.0,,,0.193798505958321,0
NDUFS8,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial (Fragment) OS=Homo sapiens GN=NDUFS8 PE=1 SV=1",Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0305948265815129,0.1436556849781899,-0.0305948265815129,0.2031598180081531,0,0.0,,,0.1996596861448778,0
NDUFV1,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial (Fragment) OS=Homo sapiens GN=NDUFV1 PE=1 SV=1",Unknown,Unknown,2,4,0.75,DOWN,1,3,-0.1303085150664281,0.1536338845529762,-0.0479770599964551,0.2320915734277238,0,0.0,-1.1229060421446777,0.3432347900339271,0.407010548095571,2
HSPA8,Heat shock cognate 71 kDa protein (Fragment) OS=Homo sapiens GN=HSPA8 PE=1 SV=1,Unknown,Unknown,2,4,0.5,DOWN,2,2,-0.0146619156896168,0.1100121030065645,-0.0301847451494135,0.1574980888847703,0,0.0,-0.1861853155607991,0.8641776843739117,0.2234597910729329,0
CD59,CD59 glycoprotein OS=Homo sapiens GN=CD59 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0062352341722014,0.1429656346035525,-0.0062352341722014,0.2021839394096203,0,0.0,,,0.1995906811074141,0
NDUFS3,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial OS=Homo sapiens GN=NDUFS3 PE=1 SV=1",Unknown,Unknown,2,4,0.5,DOWN,2,2,-0.0681473563805526,0.1513490826357482,-0.0532816649571457,0.1951979424077737,0,0.0,-0.6982384705489469,0.5352844961206884,0.293372126686496,0
RPS3,40S ribosomal protein S3 OS=Homo sapiens GN=RPS3 PE=1 SV=1,Unknown,Unknown,2,4,0.5,DOWN,2,2,0.0878255761216737,0.2517143688552096,0.0089761391604151,0.3376234339904021,1,0.25,0.5202575845145299,0.6388390397481811,0.2826977465829435,0
C8B,Complement component C8 beta chain OS=Homo sapiens GN=C8B PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.2260236702165436,0.4015912870481814,-0.2260236702165436,0.5679358446744048,1,0.5,,,0.2254532463518769,0
OTUB1,Ubiquitin thioesterase OTUB1 OS=Homo sapiens GN=OTUB1 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.1299401293600502,0.249522217771416,0.1299401293600502,0.3528777044857494,0,0.0,,,0.2102463394242004,0
TCP1,T-complex protein 1 subunit alpha (Fragment) OS=Homo sapiens GN=TCP1 PE=1 SV=1,Unknown,Unknown,2,4,0.5,DOWN,2,2,0.0816316715985476,0.1977859334821021,0.0170915932718097,0.2733211179377783,0,0.0,0.5973316091669958,0.5923664315197974,0.2865994246913096,0
RAB35,Ras-related protein Rab-35 (Fragment) OS=Homo sapiens GN=RAB35 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0074990174548094,0.0954361077658683,0.0074990174548094,0.1349670379425912,0,0.0,,,0.1948377284236456,0
MTHFD1,"C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens GN=MTHFD1 PE=1 SV=1",Unknown,Unknown,2,2,0.5,DOWN,1,1,0.4432294382554195,0.5195450707803476,0.4432294382554195,0.7347476853616572,1,0.5,,,0.2372486247250936,0
SEC23A,Protein transport protein Sec23A OS=Homo sapiens GN=SEC23A PE=1 SV=1,Unknown,Unknown,2,4,0.75,UP,3,1,0.2229221492985336,0.2887623144462657,0.22073614836468,0.3198660287616714,1,0.25,1.39384698125996,0.2576677787552453,0.4376367933406363,2
TUBA1C,Tubulin alpha-1C chain OS=Homo sapiens GN=TUBA1C PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.1452233228822478,0.4798134282270839,0.1452233228822478,0.6785586576074717,1,0.5,,,0.2332754604697672,0
CLTCL1,Clathrin heavy chain 2 (Fragment) OS=Homo sapiens GN=CLTCL1 PE=1 SV=1,Unknown,Unknown,2,4,0.5,DOWN,2,2,0.1264957971354653,0.182238345670566,0.0315067716345584,0.2748181844657598,1,0.25,0.9205780715084066,0.4251632262124942,0.3184853069716166,0
TNS2,Tensin-2 OS=Homo sapiens GN=TNS2 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.4866021848496212,0.5989483203264596,0.4866021848496212,0.8470408377662642,1,0.5,,,0.2451889496797047,0
SLC25A3,"Phosphate carrier protein, mitochondrial OS=Homo sapiens GN=SLC25A3 PE=1 SV=1",Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0787897839533841,0.087910764904646,0.0787897839533841,0.124324596006743,0,0.0,,,0.1940851941375234,0
RGPD1,RANBP2-like and GRIP domain-containing protein 1 OS=Homo sapiens GN=RGPD1 PE=4 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0626930946078587,0.0745751195877291,0.0626930946078587,0.1054651455365619,0,0.0,,,0.1927516296058317,0
KRT74,"Keratin, type II cytoskeletal 74 OS=Homo sapiens GN=KRT74 PE=1 SV=1",Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0694298428852503,0.076327212563693,0.0694298428852503,0.1079429791857087,0,0.0,,,0.1929268389034281,0
RGPD8,RANBP2-like and GRIP domain-containing protein 8 OS=Homo sapiens GN=RGPD8 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.1046987283162548,0.2073138909279575,0.1046987283162548,0.293186116218654,0,0.0,,,0.2060255067398546,0
PRPH,Peripherin (Fragment) OS=Homo sapiens GN=PRPH PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.468942998437776,0.4961194128225,0.468942998437776,0.701618802170156,1,0.5,,,0.2349060589293088,0
ABHD14B,Alpha/beta hydrolase domain-containing protein 14B OS=Homo sapiens GN=ABHD14B PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.3266633443480193,0.6925791365141871,0.3266633443480193,0.9794548078750106,1,0.5,,,0.2545520312984775,0
ZNF567,Zinc finger protein 567 OS=Homo sapiens GN=ZNF567 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0327705511203751,0.3524705789309862,-0.0327705511203751,0.4984686730616972,0,0.0,,,0.2205411755401574,0
KBTBD3,"Kelch repeat and BTB (POZ) domain containing 3, isoform CRA_a OS=Homo sapiens GN=KBTBD3 PE=1 SV=1",Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0066173758879932,0.1676261157458764,0.0066173758879932,0.2370591262957406,0,0.0,,,0.2020567292216464,0
LIN7C,"Lin-7 homolog C (C. elegans), isoform CRA_b OS=Homo sapiens GN=LIN7C PE=1 SV=1",Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0313243921785554,0.1265641788930354,-0.0313243921785554,0.1789887783011452,0,0.0,,,0.1979505355363623,0
CALM1,Calmodulin OS=Homo sapiens GN=CALM1 PE=1 SV=1,Unknown,Unknown,2,42,0.5238095238095238,DOWN,20,22,0.0277749295143506,0.2697019134597408,-0.0414851874697951,0.3491036061063015,6,0.1428571428571428,0.515612308067227,0.6088945525008023,0.2976282556357296,2
ALDH6A1,"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial OS=Homo sapiens GN=ALDH6A1 PE=1 SV=1",Unknown,Unknown,2,4,0.5,DOWN,2,2,-0.0088475104872595,0.2486227639914989,-0.0420255844503475,0.3073826916187026,0,0.0,-0.05756674483308,0.9577135198414364,0.2186136900779214,0
GSTZ1,Maleylacetoacetate isomerase OS=Homo sapiens GN=GSTZ1 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0997683093932849,0.2367522803723339,0.0997683093932849,0.3348182858253121,0,0.0,,,0.2089693456842922,0
MMP13,Collagenase 3 OS=Homo sapiens GN=MMP13 PE=1 SV=1,ECM Regulators,Matrisome-associated,2,2,0.5,DOWN,1,1,-0.1363650596498015,0.3284716609619131,-0.1363650596498015,0.4645290777875547,0,0.0,,,0.2181412837432501,0
SOS1,Son of sevenless homolog 1 OS=Homo sapiens GN=SOS1 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0680610886822511,0.3307679583159218,0.0680610886822511,0.4677765326488352,0,0.0,,,0.218370913478651,0
PHYHD1,"Phytanoyl-CoA dioxygenase domain containing 1, isoform CRA_c OS=Homo sapiens GN=PHYHD1 PE=1 SV=1",Unknown,Unknown,2,4,0.5,DOWN,2,2,-0.1265411177658773,0.2974011043335048,0.0244565426791354,0.4391886170881915,1,0.25,-0.5762495330814422,0.6048369704740131,0.2940668339856067,0
IDH3G,"Isocitrate dehydrogenase [NAD] subunit, mitochondrial OS=Homo sapiens GN=IDH3G PE=1 SV=1",Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0409690840015921,0.2958002496105075,-0.0409690840015921,0.4183247247525265,0,0.0,,,0.2148741426081095,0
MCCC1,"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial OS=Homo sapiens GN=MCCC1 PE=1 SV=1",Unknown,Unknown,2,4,0.75,DOWN,1,3,0.0916811248284382,0.2980590696935962,-0.106231784307363,0.4637451489595097,1,0.25,0.3953944317655518,0.7189901157354683,0.3463020014693247,2
SMC1A,Structural maintenance of chromosomes protein OS=Homo sapiens GN=SMC1A PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0190856383848937,0.1230166510599423,-0.0190856383848937,0.1739718163266891,0,0.0,,,0.197595782753053,0
MPRIP,Myosin phosphatase Rho-interacting protein (Fragment) OS=Homo sapiens GN=MPRIP PE=1 SV=3,Unknown,Unknown,2,4,0.5,DOWN,2,2,0.1431625582061873,0.2235423904382868,0.1470017730036606,0.2644296425171654,0,0.0,1.0828026452964248,0.3581604265028741,0.3360162713903127,0
DPM1,Dolichol-phosphate mannosyltransferase subunit 1 (Fragment) OS=Homo sapiens GN=DPM1 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.1490498260201114,0.392744231802053,-0.1490498260201114,0.555424219158266,1,0.5,,,0.2245685408272641,0
CGN,Cingulin (Fragment) OS=Homo sapiens GN=CGN PE=1 SV=1,Unknown,Unknown,2,4,0.5,DOWN,2,2,-0.039130313520968,0.0932686489119679,0.0046210362931268,0.1335807941161956,0,0.0,-0.5858673588499624,0.5991249202354335,0.2747959984911689,0
PCCA,"Propionyl-CoA carboxylase alpha chain, mitochondrial (Fragment) OS=Homo sapiens GN=PCCA PE=1 SV=1",Unknown,Unknown,2,4,0.5,DOWN,2,2,0.0991447041200227,0.2881838128595551,0.0580718147972713,0.3859130382986256,1,0.25,0.513818888095214,0.6428293243285776,0.2855466340672988,0
ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal (Fragment) OS=Homo sapiens GN=ACAA1 PE=1 SV=1",Unknown,Unknown,2,4,0.75,DOWN,1,3,-0.1480399419316025,0.2996901397289561,-0.2826551119652766,0.3023117575002316,0,0.0,-0.979385936926314,0.3996142180779389,0.4103402880043666,2
SUGCT,Succinate--hydroxymethylglutarate CoA-transferase (Fragment) OS=Homo sapiens GN=SUGCT PE=1 SV=1,Unknown,Unknown,2,4,0.75,UP,3,1,0.0996307988972102,0.1170240193424114,0.1202851577815995,0.1119806421874734,0,0.0,1.7794289611308431,0.1732170026300303,0.4373531190552939,2
TOR1AIP1,Torsin-1A-interacting protein 1 (Fragment) OS=Homo sapiens GN=TOR1AIP1 PE=1 SV=1,Unknown,Unknown,2,4,0.5,DOWN,2,2,0.0184594114781249,0.2155993253607683,-0.0826994292018144,0.3038217553840913,0,0.0,0.1215147444249907,0.9109656933732118,0.2246609115084933,0
RAD23B,UV excision repair protein RAD23 homolog B (Fragment) OS=Homo sapiens GN=RAD23B PE=1 SV=1,Unknown,Unknown,2,4,0.75,UP,3,1,0.2374915999449636,0.3310624103398343,0.2120132256703789,0.3945442695585135,1,0.25,1.2038780855223754,0.3149633423839424,0.4304076902042537,2
DUSP15,Dual-specificity protein phosphatase 15 (Fragment) OS=Homo sapiens GN=DUSP15 PE=4 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0946714459913214,0.1109749902604393,0.0946714459913214,0.1569423363105354,0,0.0,,,0.1963916166731027,0
HLA-DPA1,"HLA class II histocompatibility antigen, DP alpha 1 chain (Fragment) OS=Homo sapiens GN=HLA-DPA1 PE=1 SV=1",Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0572333295590777,0.1422023951211328,-0.0572333295590777,0.2011045557822437,0,0.0,,,0.1995143571591721,0
PTPRF,Receptor-type tyrosine-protein phosphatase F (Fragment) OS=Homo sapiens GN=PTPRF PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.2905446951846184,0.4525473048842573,0.2905446951846184,0.6399985361827086,1,0.5,,,0.2305488481354845,0
TKTL1,Transketolase-like protein 1 (Fragment) OS=Homo sapiens GN=TKTL1 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0477206949264992,0.065262021891832,0.0477206949264992,0.0922944364673186,0,0.0,,,0.191820319836242,0
